书名,价格,信息,日期,出版社
 CTF实战：从入门到提升 三大院士联袂推荐;安恒信息组织编写;网络安全从业者和爱好者入门,¥74.20,苗春雨 叶雷鹏, 2023-05-17,机械工业出版社
 凤凰架构：构建可靠的大型分布式系统 《深入理解Java虚拟机》周志明新作，5维度讲解可靠大型分布式系统架构，5种架构风格实例，9位架构专家推荐,¥78.30,周志明, 2023-01-14,机械工业出版社
 Linux内核设计与实现(原书第3版) 深入理解LINUX内核设计原理，精通Linux内核核心技术,¥49.80,拉芙(RobertLove), 2011-06-01,机械工业出版社
 Origin 2022科学绘图与数据分析 新版软件 视频版 官方推荐,¥66.70,海滨, 2022-11-15,机械工业出版社
 ToB的本质：行业逻辑与商业运作 阿里ToB专家10年中美经验，辨析行业、客户、产品、市场、竞争本质，为ToB提供破局之道，40余位ToB领袖力荐,¥74.20,[美]尚书 著, 2023-07-02,机械工业出版社
 从零构建知识图谱：技术 方法与案例 资深知识图谱专家撰写，OpenKG创始人王昊奋、美团知识图谱负责人张富峥力荐，技术、工具、方法和案例4个维度，配源码,¥74.20,"邵浩,张凯,李方圆,张云柯,戴锡强", 2021-07-01,机械工业出版社
 JavaScript权威指南（第7版） 全球畅销25年JS犀牛书全新升级，涵盖ECMAScript2020|JavaScript高级程序设计从入门到精通，全体前端开发者案头手册,¥109.90,David, 2020-09-21,机械工业出版社
 Java核心技术 卷I 基础知识（原书第11版） Java领域 有影响力和价值的著作之一，10余年全球畅销不衰; 针对Java SE 9/10/11全面更新,¥96.90,"［美］凯·S.霍斯特曼（Cay S. Horstmann） 著 林 琪,苏钰涵 等译", 2022-04-26,机械工业出版社
 数据挖掘：概念与技术（原书第3版） 数据挖掘领域具有里程碑意义的经典著作，完整全面阐述该领域的重要知识和技术创新。,¥57.00,Jiawei, 2022-06-09,机械工业出版社
 智慧的疆界：从图灵机到人工智能 畅销书《深入理解Java虚拟机》作者新作，从奠基人物、历史事件、学术理论、研究成果、技术应用5维度展开,¥49.80,周志明, 2022-07-25,机械工业出版社
 爬虫逆向进阶实战 ,¥109.90,李玺, 2022-05-11,机械工业出版社
 C++20高级编程 详解C++20的概念约束 协程 Ranges 模块等新特征 重点讲述库 框架开发的高级编程技术,¥81.70,罗能, 2022-09-13,机械工业出版社
 Redis设计与实现（Redis技术专家撰写，深入了解Redis技术内幕的之作。从源码角度解析Redis的架构设计、实现 资深 Redis 技术专家撰写，深入了解Redis技术内幕的之作,¥62.50,黄健宏, 2022-08-10,机械工业出版社
 Java核心技术 卷I：开发基础（原书第12版） 畅销20载的大师之作，Jolt大奖得主，全球百万Java工程师口碑选择，Java事实标准，提供部分作者亲授视频+海量代码集,¥111.70,[美] 凯·S.霍斯特曼（Cay S.Horstmann）, 2022-06-01,机械工业出版社
 计算机组成与设计：硬件/软件接口 MIPS版（原书第6版） 图灵奖得主联袂撰写，计算机体系结构新黄金时代之作，每章都新增了关于领域专用体系结构的讨论,¥111.70,戴维, 2023-02-13,机械工业出版社
 Python学习手册（原书第5版） 零基础学Python3，Python编程从入门到实践，详解利用Python进行数据分析、机器学习、网络爬虫的Python编程语言基础，完整覆盖Python核心技术，助你快速入门并进行项目开发实战,¥173.10,[美]马克·卢茨, 2018-11-05,机械工业出版社
 Python金融风控策略实践 金融风控策略理论+Python深入实践的力作,¥66.70,冯占鹏 姚志勇 编著, 2023-06-01,机械工业出版社
 Android系统性能优化：卡顿、稳定性与续航 中兴通讯官方出品，从应用、系统、外设多维度讲解卡顿、稳定性、续航优化策略和方法，深入解析55个典型案例,¥74.20,中兴通讯终端事业部 著, 2023-05-24,机械工业出版社
 实战大数据（Hadoop+Spark+Flink）——从平台构建到交互式数据分析（离线/实时） ,¥74.20,杨俊, 2021-05-01,机械工业出版社
 AI编译器开发指南 从实战编程的角度出发，全方位阐述AI编译器技术，帮助初学者建立AI编译器开发领域知识图谱,¥89.20,汪岩 著, 2022-12-21,机械工业出版社
 因果推断导论 这是一本内容丰富、全面、深入介绍因果推断的书籍,¥59.20,俞奎 王浩 梁吉业 编著, 2023-08-22,机械工业出版社
