title,bvid,link,up,play,bulletchat,reply,like,coin,favorite,share,labels
拥有我你就能拥有...,BV1cv411c7yk,https://b23.tv/BV1cv411c7yk,铃乃Chan,834978,921,2289,125527,12603,16402,3005,"['这个配音厉害了', '动画', '配音', 'VR', '声优', '虚拟UP主', '声真似', '萌', '游戏', '河南话', '可爱', 'VRChat', '配音新声代3.0']"
在 我 这 呐,BV1Vj411J7PE,https://b23.tv/BV1Vj411J7PE,頹男,2082519,986,1280,165991,29051,22075,10731,"['往事只能回味', '鬼畜星探企划', '影视', '影视剪辑', '复仇者联盟', '鬼畜剧场', '科幻', '超级英雄', '鬼畜', '特效', '脑洞', '电影剪辑', '唐人街探案']"
动态视频｜我们用记忆金属做了一盆花...,BV1gN411M7kh,https://b23.tv/BV1gN411M7kh,老师好我叫何同学,4920938,10932,3538,851369,85760,116685,21910,"['科技猎手2023', '生活', '日常', 'DIY', '何同学', '记忆金属', '小视频', '金属花']"
美的不真实…这是在动漫里跳舞吗！？,BV1xG411D7tt,https://b23.tv/BV1xG411D7tt,-小D-biu,498282,366,819,31200,7239,8757,844,"['溯 (Reverse) feat. 马吟吟', '跳一支秋日国风舞', '舞蹈', '国风舞蹈', '中国风', '4K', '舞蹈', '原创舞蹈', '即兴舞蹈', '原创', '大理', '溯', '秋日舞蹈激励计划']"
【吸奇侠】第一奇书《金瓶梅》01 天饼星的陨落,BV1hw411H79u,https://b23.tv/BV1hw411H79u,吸奇侠,1063130,5760,2595,67216,28398,24276,5399,"['影视', '影视杂谈', '水浒传', '历史', '知识', '金瓶梅', '奇书', '名著']"
【影史上100个关于窗的镜头】“或许生活难免落俗，但浪漫至死不渝。”,BV1Jj411J75b,https://b23.tv/BV1Jj411J75b,白日妄想家,475247,493,425,61167,14789,50717,2876,"['Summer Ghost', '影视神仙剪刀手', '影视', '影视剪辑', '张曼玉', '影视剪辑', '电影', '风景', '混剪', '经典', '浪漫', '系列', '电影美学']"
对象家人出车祸了也会先陪我吃完火锅？,BV1iu4y1b7Zb,https://b23.tv/BV1iu4y1b7Zb,蜡笔小坨恰恰恰,1824970,8040,3511,154400,86037,24412,25199,"['人人都能聊影视', '影视', '影视杂谈', '王鹤棣', '白鹿', '最强安利王3.0', '郭虎', '以爱为营']"
做了一个夜里看恐怖片不害怕的地下钢铁安全屋,BV19w411T7pk,https://b23.tv/BV19w411T7pk,手工耿,10999699,103393,25007,1114333,827145,230659,164229,"['外星降临活着就行', '科技', '极客DIY', '机械', '科技', '星球重启', '地下安全屋', '极客DIY', '“外星降临活着就行”星球重启创作激励计划']"
《原神》剧情PV-「轻涟」,BV1Jg4y197YW,https://b23.tv/BV1Jg4y197YW,原神,10524400,23300,22388,537564,442944,278650,93302,"['游戏', '手机游戏', '原神', '原神枫丹', '芙宁娜', '米哈游', 'miHoYo']"
三国灭爸为什么活不长？【小约翰】,BV16a4y1Q7by,https://b23.tv/BV16a4y1Q7by,小约翰可汗,6076760,25733,8010,447310,94434,67777,15066,"['历史人文档案馆', '知识', '人文历史', '吕布', '三国演义', '历史', '人文', '战争', '人物', '知识', '三国', '大话西游手游']"
树：讲真的，我已经不在乎那条虫子了！,BV1794y1G7Y5,https://b23.tv/BV1794y1G7Y5,幸运猎手,12596417,10299,10657,759247,68656,197991,64237,"['HandClap', '动物观察局', '动物圈', '动物二创', '动物世界', '自然', '动物', '野生动物', '啄木鸟', '踩点', '动物观察局24.0 小动物变装派对！']"
【罗翔】看我被“白头”，很多亲友发来慰问，还有对错真假吗？,BV1QN4y1U7u2,https://b23.tv/BV1QN4y1U7u2,罗翔说刑法,6496275,13853,6508,382536,81678,35553,12148,"['知识', '社科·法律·心理', '罗翔', '道德', '真假', '侵权', '肖像权', '白头', '理想主义']"
复刻全球最受欢迎炸鸡，每年卖出上亿份，到底有多好吃？,BV1aM411D7g5,https://b23.tv/BV1aM411D7g5,大碗拿铁,4532060,5814,1942,252232,69542,68218,11661,"['初冬时节·美食治愈季', '美食', '美食制作', '炸鸡', '4K', '美国', '美食', '搞笑', '纳什维尔炸鸡', '辣鸡', '大碗拿铁']"
《崩坏：星穹铁道》藿藿角色PV——「回魂夜」,BV1mj411E7eB,https://b23.tv/BV1mj411E7eB,崩坏星穹铁道,3888327,10488,10849,260220,92831,61351,55645,"['游戏', '手机游戏', '崩坏：星穹铁道', 'PV', '崩坏星穹铁道', '藿藿', '桂乃芬', '角色PV', '米哈游', 'miHoYo']"
带你去山西看穿越千年的日出，vivo X100系列挑战长长长长长焦拍太阳,BV1Eu411F7qQ,https://b23.tv/BV1Eu411F7qQ,vivo,6041655,2060,1641,119826,8083,11835,4971,"['科技', '数码', '手机', '历史', '摄影', '风光', '手机摄影', '旅行', '挑战', '山西', '长焦', '日出']"
能给人急死,BV1nj411a7Cz,https://b23.tv/BV1nj411a7Cz,高斯Goh,4030801,13933,2790,246871,87244,55674,3229,"['桌游棋牌创作挑战', '游戏', '桌游棋牌', '搞笑', '生活', '日常', '娱乐', '逗比', '动物方程式', '沙雕', '整活', '小潮team', '桌游棋牌创作营第十一期（斗地主）']"
当名台词有了回应2,BV1yC4y1U7HM,https://b23.tv/BV1yC4y1U7HM,变相怪杰Mask,4380344,5981,2682,275445,97569,84997,45571,"['Diamond Cut Diamond', '影视', '影视剪辑', '新三国', '关羽', '三国演义', '鬼畜', '影视剪辑', '搞笑', '台词', '电视剧', '名场面', '台词向']"
aespa《Drama》MV,BV1Se411X7d4,https://b23.tv/BV1Se411X7d4,SMTOWN,3474150,21026,22408,152253,69314,66509,58155,"['Drama', '始于MY和aespa的Drama', '音乐', 'MV', 'aespa', 'KPOP人集合企划4.0']"
「正经向」宅男们一起跳了！💢肃清！萝莉神安魂曲💢,BV1iw411N78K,https://b23.tv/BV1iw411N78K,宅男街舞队_RAB,2545966,3439,4586,312226,108314,83830,53213,"['粛聖!! ロリ神レクイエム☆', '秋日宅舞随拍记录', '舞蹈', '宅舞', '宅舞', '街舞', '舞蹈', '踊ってみた', '二次元', 'RAB', '宅男', '元气', '才艺', '秋日舞蹈激励计划']"
《甄嬛传》之 甄嬛的一生 (上),BV16j411h7bN,https://b23.tv/BV16j411h7bN,惊奇动物园oopspark,3309845,2736,1968,327471,75940,104699,48704,"['动画区整活打卡', '动画', '短片·手书', '华妃', '惊鸿舞', '原创动画', '谷雨美白奶罐', '甄嬛传二创', '甄嬛', '谷雨', '安陵容', '倚梅园']"
这一刻水神无愧于正义之名，芙宁娜比肩神明！【原神 / 𝗖𝗮𝗹𝗹 𝗼𝗳 𝗦𝗶𝗹𝗲𝗻𝗰𝗲】,BV14u4y187Rg,https://b23.tv/BV14u4y187Rg,伊零Onezero,2869448,3800,3861,382665,120969,169638,26691,"['Call of Silence', '原神UP主激励计划', '游戏', 'GMV', 'GMV', '原神', '手机游戏', 'CG混剪', '原神4.2', '芙宁娜', '米哈游', 'Call Of Silence', '芙卡洛斯']"
只有一笔钱，3岁宝宝会花给妈妈还是爸爸？,BV1tz4y1P7rv,https://b23.tv/BV1tz4y1P7rv,啊吗粽,1590937,2274,857,83135,14198,6332,3455,"['双11省学指南', '生活', '搞笑', '萌娃', '搞笑', '生活', '可爱', '拿姐', '天猫双11省学', '亲子', '小粽子', '啊吗粽']"
[4K]来了终於来了!Red Velvet的Killing Voice现场一次听!!,BV19C4y127H6,https://b23.tv/BV19C4y127H6,Dingo_official,1542745,21657,8614,119453,96756,76333,32332,"['행복(Happiness)', '一起来看live', '音乐', '音乐现场', '4K', '裴珠泫', 'LIVE', 'Red Velvet', '新歌', '金藝琳', '姜澀琪', '孫承完', '樸秀榮', '一起来看live2023终结篇']"
就算要被吃掉，也要保持微笑！,BV1bw411T7VY,https://b23.tv/BV1bw411T7VY,绵羊料理,3057492,6160,2333,223149,63221,21307,6577,"['初冬时节·美食治愈季', '美食', '美食侦探', '探店', '吃货', '美食', '搞笑', '吃播', '生活记录', '北京', 'Vlog']"
水的女儿，自由快乐的一天！,BV1Au411F75L,https://b23.tv/BV1Au411F75L,KKOMDA,2101195,1873,2770,229710,79854,92550,8667,"['原神UP主激励计划', '动画', '短片·手书', '手书', '林尼', '琳妮特', '芙宁娜', '菲米尼', '克洛琳德', '夏洛蒂', '那维莱特']"
9.7分封神！漫威15年最强剧诞生！洛基“故事之神”最强形态！这一集我实名吹爆,BV1mz4y1P7xY,https://b23.tv/BV1mz4y1P7xY,努力的Lorre,2872298,7291,4509,146280,32360,31519,9594,"['分集讲透影视经典', '影视', '影视杂谈', '最强安利王3.0']"
二手玫瑰《仙儿》| 2023再见夏天工体演唱会,BV1Lu4y1b73i,https://b23.tv/BV1Lu4y1b73i,二手玫瑰乐队,3478482,2298,3046,357144,36472,35113,13092,"['仙儿', '一起来看live', '音乐', '音乐现场', '华语现场', '音乐现场', '乐夏', 'LIVE', '演唱会', '二手玫瑰', '现场', '工体', '乐队的夏天', '一起来看live2023终结篇']"
再见啦！谢谢你陪伴我15年...,BV1XQ4y187cz,https://b23.tv/BV1XQ4y187cz,kei和marin,2116121,800,1297,46763,8735,3136,489,"['VVV', '今天也在好好生活', '生活', '日常', '情侣', '日语', '整蛊', '中日情侣', '整活', '生活万花筒8.0 看见生活B面']"
【英雄联盟】世界赛后遗症大赏,BV1Qa4y1S7jr,https://b23.tv/BV1Qa4y1S7jr,英雄联盟,1679184,262,664,33722,1137,1713,652,"['Bartholdy - Auf Flugeln Des Gesanges', '英雄联盟S13', '游戏', '电子竞技', '英雄联盟', 'LOL', '2023全球总决赛']"
